n,media,ic_low,ic_high
203,0.8922709359605911,0.8899796894022852,0.8945621825188971
204,0.8921225490196079,0.8898239331515807,0.894421164887635
205,0.8921317073170731,0.8898443276553293,0.894419086978817
206,0.8921213592233009,0.8898450852495885,0.8943976331970134
207,0.8920483091787439,0.8897785498200075,0.8943180685374803
208,0.8921298076923077,0.8898653440389191,0.8943942713456962
209,0.8921531100478468,0.8898991027103444,0.8944071173853492
210,0.8921285714285714,0.8898848643958177,0.894372278461325
211,0.8920331753554502,0.8897922844041218,0.8942740663067786
212,0.8919481132075471,0.8897115841455862,0.894184642269508
213,0.8919765258215961,0.8897498777290997,0.8942031739140925
214,0.8918785046728972,0.8896539388241581,0.8941030705216363
215,0.8917720930232558,0.889548044507635,0.8939961415388765
216,0.8918101851851852,0.8895952427633859,0.8940251276069845
217,0.8918617511520737,0.8896547556970861,0.8940687466070613
218,0.8918348623853211,0.8896374319582081,0.894032292812434
219,0.8918538812785387,0.8896662428952448,0.8940415196618327
220,0.8919681818181817,0.8897789446146821,0.8941574190216813
221,0.8920316742081447,0.8898488310947197,0.8942145173215696
222,0.8919414414414414,0.8897612433028038,0.894121639580079
223,0.8918834080717488,0.8897100512509917,0.894056764892506
224,0.8918839285714285,0.8897203489239449,0.8940475082189121
225,0.8919555555555554,0.8897970458080304,0.8941140653030804
226,0.8918185840707963,0.8896528135890889,0.8939843545525037
227,0.8919030837004404,0.8897405070774852,0.8940656603233955
228,0.8917894736842105,0.8896248468477757,0.8939541005206453
229,0.8918122270742357,0.8896566578443206,0.8939677963041508
230,0.8916956521739129,0.8895372684272572,0.8938540359205686
231,0.8916709956709955,0.889521476457876,0.893820514884115
232,0.891612068965517,0.8894687370821217,0.8937554008489124
233,0.8916180257510727,0.8894839287121785,0.893752122789967
234,0.8915726495726494,0.8894458601910696,0.8936994389542291
235,0.8916085106382977,0.8894896597613595,0.8937273615152359
236,0.8914830508474575,0.8893588149712217,0.8936072867236933
237,0.8913080168776369,0.8891648861221633,0.8934511476331106
238,0.8913109243697477,0.8891768560861012,0.8934449926533942
239,0.8911297071129706,0.8889748551471267,0.8932845590788144
240,0.8910249999999998,0.8888693003173993,0.8931806996826004
241,0.8910165975103734,0.8888698429832371,0.8931633520375097
242,0.8910826446280992,0.8889408690953992,0.8932244201607992
243,0.891119341563786,0.8889852180365442,0.8932534650910279
244,0.8911885245901638,0.8890588449377375,0.8933182042425902
245,0.8910979591836734,0.8889695445134842,0.8932263738538626
246,0.8910934959349592,0.8889737759075723,0.8932132159623462
247,0.8911376518218622,0.8890247829323552,0.8932505207113692
248,0.8911612903225804,0.8890564854207378,0.893266095224423
249,0.8911004016064256,0.8890006808598899,0.8932001223529612
250,0.8910479999999997,0.8889541910288392,0.8931418089711602
251,0.8909362549800794,0.8888392644073482,0.8930332455528107
252,0.8907896825396824,0.8886812162286987,0.8928981488506661
253,0.8906956521739129,0.8885874275755148,0.892803876772311
254,0.8908740157480313,0.8887449704259998,0.8930030610700628
255,0.8909019607843135,0.8887806072450195,0.8930233143236075
256,0.8908945312499998,0.8887814695101359,0.8930075929898638
257,0.8909338521400777,0.8888276438098852,0.8930400604702702
258,0.89084496124031,0.8887396812313463,0.8929502412492737
259,0.8908957528957527,0.8887962717901196,0.8929952340013859
260,0.8908692307692305,0.8887772262198391,0.8929612353186219
261,0.8909118773946357,0.8888262499016363,0.8929975048876352
262,0.8909580152671753,0.8888784152676258,0.8930376152667249
263,0.8910456273764256,0.8889668160044085,0.8931244387484426
