n,media,ic_low,ic_high
212,0.5438773584905665,0.48480770472232493,0.6029470122588081
213,0.5455868544600944,0.4867002794502322,0.6044734294699565
214,0.5430420560747669,0.4842186065379895,0.6018655056115443
215,0.5405209302325586,0.48176276135292073,0.5992790991121966
216,0.5421712962962968,0.48359693779209223,0.6007456548005013
217,0.543797235023042,0.48540694512180554,0.6021875249242785
218,0.5454954128440371,0.48727879965884313,0.6037120260292311
219,0.5430091324200919,0.4848536329535506,0.601164631886633
220,0.5405909090909096,0.4825059736837038,0.5986758444981153
221,0.5422171945701363,0.48430838004215576,0.6001260090981169
222,0.5437162162162167,0.4859946369480267,0.6014377954844067
223,0.5452331838565028,0.48769473927700724,0.6027716284359983
224,0.546834821428572,0.489468334163985,0.604201308693159
225,0.5483066666666672,0.49112349672164174,0.6054898366116925
226,0.5497920353982306,0.4927886270975103,0.6067954436989509
227,0.5511894273127759,0.49437228475817574,0.608006569867376
228,0.552618421052632,0.4959823269777043,0.6092545151275598
229,0.5540829694323149,0.4976222661627212,0.6105436727019087
230,0.5516782608695657,0.49526554920662375,0.6080909725325077
231,0.5531212121212127,0.4968826285303601,0.6093597957120652
232,0.5545129310344833,0.4984514611845842,0.6105744008843824
233,0.556064377682404,0.5001616681322425,0.6119670872325655
234,0.5574658119658125,0.5017353283236307,0.6131962956079943
235,0.5588425531914899,0.5032847149580947,0.6144003914248851
236,0.5602076271186446,0.5048215970754575,0.6155936571618317
237,0.561611814345992,0.506391849395434,0.6168317792965501
238,0.5630168067226895,0.5079609240587917,0.6180726893865873
239,0.5643807531380758,0.5094910910103998,0.6192704152657518
240,0.5620416666666671,0.5071884780102794,0.6168948553230548
241,0.5633983402489631,0.5087090527254454,0.6180876277724807
242,0.5646115702479343,0.5100974742542472,0.6191256662416214
243,0.5623004115226341,0.507821696868077,0.6167791261771912
244,0.5600000000000004,0.5055572419678179,0.6144427580321828
245,0.5615102040816331,0.5072096873900821,0.6158107207731841
246,0.5592317073170736,0.5049675679842723,0.6134958466498749
247,0.5569716599190289,0.5027457250060593,0.6111975948319984
248,0.5583024193548392,0.5042330932843506,0.6123717454253277
249,0.5597148594377515,0.5057923778102568,0.6136373410652461
250,0.5574800000000004,0.5035946237834716,0.6113653762165292
251,0.5587569721115542,0.505028861169044,0.6124850830540643
252,0.560103174603175,0.5065240940954135,0.6136822551109365
253,0.5579051383399213,0.5043639953944776,0.6114462812853649
254,0.5592322834645673,0.5058393565886339,0.6126252103405008
255,0.5606039215686278,0.5073532407595768,0.6138546023776789
256,0.5617851562500004,0.5086929038526997,0.614877408647301
257,0.5596031128404673,0.5065445456484202,0.6126616800325143
258,0.5608682170542639,0.5079579960186599,0.613778438089868
259,0.5622239382239386,0.5094517944915,0.6149960819563771
260,0.563515384615385,0.5108860819015929,0.616144687329177
261,0.5647586206896555,0.5122751703425061,0.617242071036805
262,0.5660190839694661,0.5136783925005358,0.6183597754383964
263,0.5638707224334605,0.5115590289001343,0.6161824159667867
264,0.5650568181818186,0.5128922648509217,0.6172213715127156
265,0.562928301886793,0.5107931519396333,0.6150634518339527
266,0.5641842105263163,0.5121874957780269,0.6161809252746057
267,0.5653970037453189,0.5135412836077093,0.6172527238829284
268,0.5632910447761199,0.5114639313670678,0.615118158185172
269,0.5612118959107811,0.5094166686910246,0.6130071231305376
270,0.5624925925925931,0.5108288591835737,0.6141563260016125
271,0.5637490774907754,0.5122177893263934,0.6152803656551574
272,0.5648750000000005,0.5134865368161773,0.6162634631838236
273,0.5661172161172165,0.5148598047196944,0.6173746275147387
274,0.5640729927007304,0.5128455053374075,0.6153004800640534
275,0.5620290909090914,0.5108306940667967,0.613227487751386
276,0.5599963768115948,0.5088279256599604,0.6111648279632291
277,0.5613104693140799,0.510262303451393,0.6123586351767668
278,0.5592949640287775,0.5082770489922946,0.6103128790652604
279,0.557297491039427,0.5063117168031387,0.6082832652757154
280,0.558478571428572,0.5076228390401588,0.6093343038169853
281,0.5565017793594311,0.5056789532391037,0.6073246054797585
282,0.5545319148936175,0.5037421810700441,0.605321648717191
283,0.5525759717314493,0.5018205640633888,0.6033313793995099
284,0.5537605633802823,0.503131235647337,0.6043898911132277
285,0.5518210526315795,0.5012262114713028,0.6024158937918563
286,0.5530139860139867,0.5025424680927361,0.6034855039352373
287,0.5510905923344954,0.5006537084586357,0.6015274762103552
288,0.5522361111111117,0.5019248577051838,0.6025473645170396
289,0.5533321799307965,0.5031496607806147,0.6035146990809783
290,0.5544137931034488,0.5043600553394019,0.6044675308674958
291,0.5525154639175264,0.5024950182489698,0.6025359095860829
292,0.5536267123287678,0.5037306248622719,0.6035227997952637
293,0.5517406143344716,0.501877458663016,0.6016037700059272
294,0.5529217687074837,0.5031748675528513,0.602668669862116
295,0.5541050847457634,0.5044731359078599,0.6037370335836668
296,0.5552432432432438,0.505729255427412,0.6047572310590756
297,0.5563905723905729,0.5069926346374152,0.6057885101437306
298,0.5545268456375845,0.5051591942909353,0.6038944969842337
299,0.5526755852842815,0.5033392971689159,0.6020118733996471
300,0.5538500000000006,0.5046248261796238,0.6030751738203775
301,0.5549900332225919,0.5058780666995403,0.6041019997456435
302,0.5531556291390735,0.5040742823590878,0.6022369759190591
303,0.5543036303630369,0.5053330546439525,0.6032742060821212
304,0.5554473684210531,0.5065869297001837,0.6043078071419226
305,0.5536295081967219,0.504798970313811,0.6024600460796327
306,0.5547287581699352,0.5060106528946231,0.6034468634452472
307,0.5558078175895771,0.507202893786788,0.6044127413923662
308,0.5568246753246758,0.5083371411780567,0.6053122094712949
309,0.555025889967638,0.5065667149405212,0.6034850649947548
310,0.556187096774194,0.5078310997221281,0.6045430938262598
311,0.5573472668810294,0.5090935893305956,0.6056009444314633
312,0.558336538461539,0.5101990037793109,0.606474073143767
313,0.5593578274760388,0.5113328747233524,0.6073827802287252
314,0.5604585987261151,0.5125384616402869,0.6083787358119433
315,0.5586825396825402,0.5107877112402807,0.6065773681247998
316,0.5569272151898739,0.5090600260464868,0.6047944043332609
317,0.5551735015772875,0.5073335418647037,0.6030134612898713
318,0.5562735849056608,0.5085357900655649,0.6040113797457567
319,0.5573730407523516,0.5097365648619057,0.6050095166427976
320,0.5556343750000006,0.5080245198761412,0.60324423012386
321,0.5566137071651096,0.5091138724305202,0.604113541899699
322,0.5548944099378887,0.5074222202959636,0.6023665995798139
323,0.5531857585139324,0.5057420887905265,0.6006294282373382
324,0.5542191358024696,0.5068790029809536,0.6015592686239857
325,0.5552338461538465,0.5079979468570034,0.6024697454506897
326,0.5562331288343563,0.5091018741148952,0.6033643835538174
327,0.5545351681957191,0.5074302197523075,0.6016401166391308
328,0.5528567073170736,0.5057801843912108,0.5999332302429364
329,0.5537963525835871,0.5068272807831994,0.6007654243839747
330,0.5548272727272732,0.507957378649845,0.6016971668047013
331,0.555839879154079,0.5090698839442737,0.6026098743638842
332,0.556807228915663,0.5101400249061454,0.6034744329251807
333,0.5578648648648652,0.511292034133806,0.6044376955959244
334,0.5561976047904196,0.5096492497422289,0.6027459598386102
335,0.5572149253731347,0.5107631099818398,0.6036667407644295
336,0.5555595238095241,0.5091323319266415,0.6019867156924067
337,0.5565430267062318,0.5102138956276684,0.6028721577847952
338,0.5574763313609471,0.5112485000627589,0.6037041626591353
339,0.5558348082595874,0.5096310740244349,0.60203854249474
340,0.5567705882352945,0.5106666777566701,0.6028744987139188
341,0.5577712609970679,0.5117611153659894,0.6037814066281463
342,0.5586871345029244,0.5127768416943859,0.6045974273114629
343,0.5595918367346943,0.5137814909819205,0.605402182487468
344,0.5605813953488377,0.5148634357524984,0.606299354945177
345,0.5615739130434787,0.5159473494785769,0.6072004766083805
