cenario,condicao,metrica,n,mean,sd,ci_low,ci_high,median,q1,q3,min,max,metrica_pt
C2,incondicional,t_peak,1000,15.054141590640132,21.649276292252658,13.71070255595528,16.397580625324984,1.961757641084255,0.0,31.35506381003799,0.0,142.32115762831597,Tempo até o pico (dias)
C2,incondicional,duration,1000,35.08605149722649,45.3858773695737,32.269645144487356,37.90245784996563,6.872489964911315,1.6341982982836936,81.45046418957722,0.0035568643486303055,197.6976745932796,Duração da epidemia (dias)
C2,incondicional,n_events,1000,219.62,322.3199058726,199.61853956503126,239.62146043496875,3.0,1.0,612.0,1.0,877.0,Número de eventos
C2,incondicional,index_offspring,1000,1.519,2.0473961098993105,1.3919494780162718,1.646050521983728,1.0,0.0,2.0,0.0,16.0,Offspring do caso índice
C2,surto maior,final_size_frac,312,0.34592628205128206,0.04860859174340586,0.34051154687999496,0.35134101722256916,0.3545,0.314,0.382,0.171,0.439,Tamanho final (fração de N)
C2,surto maior,peak_I,312,53.33653846153846,14.867870737337663,51.68033778350639,54.99273913957053,53.0,43.0,64.0,17.0,106.0,Pico de infectados
C2,surto maior,t_peak,312,43.5026701185858,16.57261766845311,41.65656981921144,45.348770417960154,41.25699043136554,32.591171506771545,49.19021751299839,12.53767747308785,142.32115762831597,Tempo até o pico (dias)
C2,surto maior,duration,312,99.2782363453883,21.34376987491682,96.90065540168098,101.65581728909561,96.81137125024273,84.59382818697208,111.89376504081187,53.47914793778486,197.6976745932796,Duração da epidemia (dias)
C2,surto maior,n_events,312,690.8525641025641,97.21718348681172,680.0230937599898,701.6820344451384,708.0,627.0,763.0,341.0,877.0,Número de eventos
C2,surto maior,index_offspring,312,3.3685897435897436,2.4048531982438077,3.100702056922097,3.6364774302573903,3.0,2.0,4.0,1.0,16.0,Offspring do caso índice
C2,surto menor,final_size_frac,688,0.0034607558139534886,0.007269699473312536,0.002916583896255775,0.0040049277316512024,0.001,0.001,0.003,0.001,0.096,Tamanho final (fração de N)
C2,surto menor,peak_I,688,2.046511627906977,2.0139656607159186,1.895756626301698,2.1972666295122556,1.0,1.0,2.0,1.0,19.0,Pico de infectados
C2,surto menor,t_peak,688,2.1530647000601184,4.794033427126533,1.794208275097387,2.51192112502285,0.0,0.0,2.38882677167465,0.0,42.70396905859779,Tempo até o pico (dias)
C2,surto menor,duration,688,5.975642089339157,8.313291443350607,5.353352300921433,6.597931877756881,2.779182348423599,1.1222040472907846,7.723170147200241,0.0035568643486303055,72.65475248364977,Duração da epidemia (dias)
C2,surto menor,n_events,688,5.921511627906977,14.53939894662507,4.833167792511549,7.009855463302404,1.0,1.0,5.0,1.0,191.0,Número de eventos
C2,surto menor,index_offspring,688,0.6802325581395349,1.1042139496337608,0.5975768411148294,0.7628882751642403,0.0,0.0,1.0,0.0,7.0,Offspring do caso índice
C3,incondicional,final_size_frac,48622,0.0036370367323433845,0.00675635322070539,0.0035769809485664624,0.0036970925161203066,0.001,0.001,0.003,0.001,0.108,Tamanho final (fração de N)
C3,incondicional,peak_I,48622,2.1528320513347867,2.0644044166923536,2.134482000467545,2.1711821022020286,1.0,1.0,2.0,1.0,30.0,Pico de infectados
C3,incondicional,t_peak,48622,3.0867270727899974,6.443763975566387,3.0294498281900277,3.144004317389967,0.0,0.0,3.4679515744648635,0.0,116.39588813152832,Tempo até o pico (dias)
C3,incondicional,duration,48622,9.023284317359098,12.212883428252166,8.914726599534024,9.131842035184171,4.456332113549827,1.6228227953592418,11.264642967603727,0.00018839250730479752,187.38829199554579,Duração da epidemia (dias)
C3,incondicional,n_events,48622,6.274073464686768,13.51270644141078,6.153961897132924,6.394185032240611,1.0,1.0,5.0,1.0,215.0,Número de eventos
C3,incondicional,index_offspring,48622,0.7479330344288594,1.1286205371417577,0.7379009670205035,0.7579651018372153,0.0,0.0,1.0,0.0,13.0,Offspring do caso índice
C3,surto maior,final_size_frac,0,,,,,,,,,,Tamanho final (fração de N)
C3,surto maior,peak_I,0,,,,,,,,,,Pico de infectados
C3,surto maior,t_peak,0,,,,,,,,,,Tempo até o pico (dias)
C3,surto maior,duration,0,,,,,,,,,,Duração da epidemia (dias)
C3,surto maior,n_events,0,,,,,,,,,,Número de eventos
C3,surto maior,index_offspring,0,,,,,,,,,,Offspring do caso índice
C3,surto menor,final_size_frac,48622,0.0036370367323433845,0.00675635322070539,0.0035769809485664624,0.0036970925161203066,0.001,0.001,0.003,0.001,0.108,Tamanho final (fração de N)
C3,surto menor,peak_I,48622,2.1528320513347867,2.0644044166923536,2.134482000467545,2.1711821022020286,1.0,1.0,2.0,1.0,30.0,Pico de infectados
C3,surto menor,t_peak,48622,3.0867270727899974,6.443763975566387,3.0294498281900277,3.144004317389967,0.0,0.0,3.4679515744648635,0.0,116.39588813152832,Tempo até o pico (dias)
C3,surto menor,duration,48622,9.023284317359098,12.212883428252166,8.914726599534024,9.131842035184171,4.456332113549827,1.6228227953592418,11.264642967603727,0.00018839250730479752,187.38829199554579,Duração da epidemia (dias)
C3,surto menor,n_events,48622,6.274073464686768,13.51270644141078,6.153961897132924,6.394185032240611,1.0,1.0,5.0,1.0,215.0,Número de eventos
C3,surto menor,index_offspring,48622,0.7479330344288594,1.1286205371417577,0.7379009670205035,0.7579651018372153,0.0,0.0,1.0,0.0,13.0,Offspring do caso índice
