rep,t,S,I,R
73,75.79927176448075,599,0,401
73,76.13172471081619,599,0,401
73,76.46417765715162,599,0,401
73,76.79663060348707,599,0,401
73,77.12908354982251,599,0,401
73,77.46153649615796,599,0,401
73,77.7939894424934,599,0,401
73,78.12644238882883,599,0,401
73,78.45889533516429,599,0,401
73,78.79134828149972,599,0,401
73,79.12380122783516,599,0,401
73,79.45625417417061,599,0,401
73,79.78870712050605,599,0,401
73,80.12116006684148,599,0,401
73,80.45361301317693,599,0,401
73,80.78606595951237,599,0,401
73,81.11851890584782,599,0,401
73,81.45097185218326,599,0,401
73,81.7834247985187,599,0,401
73,82.11587774485415,599,0,401
73,82.44833069118958,599,0,401
73,82.78078363752502,599,0,401
73,83.11323658386047,599,0,401
73,83.4456895301959,599,0,401
73,83.77814247653136,599,0,401
73,84.1105954228668,599,0,401
73,84.44304836920223,599,0,401
73,84.77550131553768,599,0,401
73,85.10795426187312,599,0,401
73,85.44040720820855,599,0,401
73,85.772860154544,599,0,401
73,86.10531310087944,599,0,401
73,86.43776604721488,599,0,401
73,86.77021899355033,599,0,401
73,87.10267193988577,599,0,401
73,87.43512488622122,599,0,401
73,87.76757783255665,599,0,401
73,88.10003077889209,599,0,401
73,88.43248372522754,599,0,401
73,88.76493667156298,599,0,401
73,89.09738961789841,599,0,401
73,89.42984256423387,599,0,401
73,89.7622955105693,599,0,401
73,90.09474845690475,599,0,401
73,90.42720140324019,599,0,401
73,90.75965434957563,599,0,401
73,91.09210729591108,599,0,401
73,91.42456024224651,599,0,401
73,91.75701318858195,599,0,401
73,92.0894661349174,599,0,401
73,92.42191908125284,599,0,401
73,92.75437202758827,599,0,401
73,93.08682497392373,599,0,401
73,93.41927792025916,599,0,401
73,93.75173086659461,599,0,401
73,94.08418381293005,599,0,401
73,94.41663675926549,599,0,401
73,94.74908970560094,599,0,401
73,95.08154265193637,599,0,401
73,95.41399559827181,599,0,401
73,95.74644854460726,599,0,401
73,96.0789014909427,599,0,401
73,96.41135443727813,599,0,401
73,96.74380738361359,599,0,401
73,97.07626032994902,599,0,401
73,97.40871327628447,599,0,401
73,97.74116622261991,599,0,401
73,98.07361916895535,599,0,401
73,98.4060721152908,599,0,401
73,98.73852506162623,599,0,401
73,99.07097800796167,599,0,401
73,99.40343095429712,599,0,401
73,99.73588390063256,599,0,401
73,100.06833684696801,599,0,401
73,100.40078979330345,599,0,401
73,100.73324273963888,599,0,401
73,101.06569568597433,599,0,401
73,101.39814863230977,599,0,401
73,101.7306015786452,599,0,401
73,102.06305452498066,599,0,401
73,102.3955074713161,599,0,401
73,102.72796041765153,599,0,401
73,103.06041336398698,599,0,401
73,103.39286631032242,599,0,401
73,103.72531925665787,599,0,401
73,104.0577722029933,599,0,401
73,104.39022514932874,599,0,401
73,104.7226780956642,599,0,401
73,105.05513104199963,599,0,401
73,105.38758398833507,599,0,401
73,105.72003693467052,599,0,401
73,106.05248988100595,599,0,401
73,106.3849428273414,599,0,401
73,106.71739577367684,599,0,401
73,107.04984872001228,599,0,401
73,107.38230166634773,599,0,401
73,107.71475461268317,599,0,401
73,108.0472075590186,599,0,401
73,108.37966050535405,599,0,401
73,108.71211345168949,599,0,401
73,109.04456639802493,599,0,401
73,109.37701934436038,599,0,401
73,109.70947229069581,599,0,401
73,110.04192523703126,599,0,401
73,110.3743781833667,599,0,401
73,110.70683112970214,599,0,401
73,111.03928407603759,599,0,401
73,111.37173702237303,599,0,401
73,111.70418996870846,599,0,401
73,112.03664291504391,599,0,401
73,112.36909586137935,599,0,401
73,112.70154880771479,599,0,401
73,113.03400175405024,599,0,401
73,113.36645470038567,599,0,401
73,113.69890764672112,599,0,401
73,114.03136059305656,599,0,401
73,114.363813539392,599,0,401
73,114.69626648572745,599,0,401
73,115.02871943206289,599,0,401
73,115.36117237839832,599,0,401
73,115.69362532473377,599,0,401
73,116.02607827106921,599,0,401
73,116.35853121740466,599,0,401
73,116.6909841637401,599,0,401
73,117.02343711007553,599,0,401
73,117.35589005641098,599,0,401
73,117.68834300274642,599,0,401
73,118.02079594908186,599,0,401
73,118.35324889541731,599,0,401
73,118.68570184175275,599,0,401
73,119.01815478808818,599,0,401
73,119.35060773442363,599,0,401
73,119.68306068075907,599,0,401
73,120.01551362709452,599,0,401
73,120.34796657342996,599,0,401
73,120.6804195197654,599,0,401
73,121.01287246610084,599,0,401
73,121.34532541243628,599,0,401
73,121.67777835877172,599,0,401
73,122.01023130510717,599,0,401
73,122.3426842514426,599,0,401
73,122.67513719777804,599,0,401
73,123.0075901441135,599,0,401
73,123.34004309044893,599,0,401
73,123.67249603678438,599,0,401
73,124.00494898311982,599,0,401
73,124.33740192945525,599,0,401
73,124.6698548757907,599,0,401
73,125.00230782212614,599,0,401
73,125.33476076846158,599,0,401
73,125.66721371479703,599,0,401
73,125.99966666113247,599,0,401
73,126.33211960746792,599,0,401
73,126.66457255380335,599,0,401
73,126.99702550013879,599,0,401
73,127.32947844647424,599,0,401
73,127.66193139280968,599,0,401
73,127.99438433914511,599,0,401
73,128.32683728548056,599,0,401
73,128.65929023181602,599,0,401
73,128.99174317815144,599,0,401
73,129.3241961244869,599,0,401
73,129.65664907082234,599,0,401
73,129.98910201715776,599,0,401
73,130.3215549634932,599,0,401
73,130.65400790982866,599,0,401
73,130.9864608561641,599,0,401
73,131.31891380249954,599,0,401
73,131.651366748835,599,0,401
73,131.9838196951704,599,0,401
73,132.31627264150586,599,0,401
73,132.6487255878413,599,0,401
74,0.0,599,1,400
74,0.33245294633544187,599,1,400
74,0.6649058926708837,599,0,401
74,0.9973588390063256,599,0,401
74,1.3298117853417675,599,0,401
74,1.6622647316772095,599,0,401
74,1.9947176780126512,599,0,401
74,2.327170624348093,599,0,401
74,2.659623570683535,599,0,401
74,2.992076517018977,599,0,401
74,3.324529463354419,599,0,401
74,3.6569824096898604,599,0,401
74,3.9894353560253024,599,0,401
74,4.321888302360744,599,0,401
74,4.654341248696186,599,0,401
74,4.986794195031628,599,0,401
74,5.31924714136707,599,0,401
74,5.651700087702512,599,0,401
74,5.984153034037954,599,0,401
74,6.316605980373396,599,0,401
74,6.649058926708838,599,0,401
74,6.981511873044279,599,0,401
74,7.313964819379721,599,0,401
74,7.646417765715163,599,0,401
74,7.978870712050605,599,0,401
74,8.311323658386046,599,0,401
74,8.643776604721488,599,0,401
74,8.97622955105693,599,0,401
74,9.308682497392372,599,0,401
74,9.641135443727814,599,0,401
74,9.973588390063256,599,0,401
74,10.306041336398698,599,0,401
74,10.63849428273414,599,0,401
74,10.970947229069582,599,0,401
74,11.303400175405024,599,0,401
74,11.635853121740466,599,0,401
74,11.968306068075908,599,0,401
74,12.30075901441135,599,0,401
74,12.633211960746792,599,0,401
74,12.965664907082234,599,0,401
74,13.298117853417676,599,0,401
74,13.630570799753116,599,0,401
74,13.963023746088558,599,0,401
74,14.295476692424,599,0,401
74,14.627929638759442,599,0,401
74,14.960382585094884,599,0,401
74,15.292835531430326,599,0,401
74,15.625288477765768,599,0,401
74,15.95774142410121,599,0,401
74,16.29019437043665,599,0,401
74,16.622647316772092,599,0,401
74,16.955100263107536,599,0,401
74,17.287553209442976,599,0,401
74,17.62000615577842,599,0,401
74,17.95245910211386,599,0,401
74,18.284912048449304,599,0,401
74,18.617364994784744,599,0,401
74,18.949817941120187,599,0,401
74,19.282270887455628,599,0,401
74,19.61472383379107,599,0,401
74,19.94717678012651,599,0,401
74,20.279629726461955,599,0,401
74,20.612082672797396,599,0,401
74,20.94453561913284,599,0,401
74,21.27698856546828,599,0,401
74,21.60944151180372,599,0,401
74,21.941894458139164,599,0,401
74,22.274347404474604,599,0,401
74,22.606800350810047,599,0,401
74,22.939253297145488,599,0,401
74,23.27170624348093,599,0,401
74,23.60415918981637,599,0,401
74,23.936612136151815,599,0,401
74,24.269065082487256,599,0,401
74,24.6015180288227,599,0,401
74,24.93397097515814,599,0,401
74,25.266423921493583,599,0,401
74,25.598876867829023,599,0,401
74,25.931329814164467,599,0,401
74,26.263782760499907,599,0,401
74,26.59623570683535,599,0,401
74,26.92868865317079,599,0,401
74,27.26114159950623,599,0,401
74,27.593594545841675,599,0,401
74,27.926047492177116,599,0,401
74,28.25850043851256,599,0,401
74,28.590953384848,599,0,401
74,28.923406331183443,599,0,401
74,29.255859277518883,599,0,401
74,29.588312223854327,599,0,401
74,29.920765170189767,599,0,401
74,30.25321811652521,599,0,401
74,30.58567106286065,599,0,401
74,30.918124009196095,599,0,401
74,31.250576955531535,599,0,401
74,31.58302990186698,599,0,401
74,31.91548284820242,599,0,401
74,32.24793579453786,599,0,401
74,32.5803887408733,599,0,401
74,32.91284168720875,599,0,401
74,33.245294633544184,599,0,401
74,33.57774757987963,599,0,401
74,33.91020052621507,599,0,401
74,34.242653472550515,599,0,401
74,34.57510641888595,599,0,401
74,34.907559365221395,599,0,401
74,35.24001231155684,599,0,401
74,35.57246525789228,599,0,401
74,35.90491820422772,599,0,401
74,36.23737115056316,599,0,401
74,36.56982409689861,599,0,401
74,36.90227704323405,599,0,401
74,37.23472998956949,599,0,401
74,37.56718293590493,599,0,401
74,37.899635882240375,599,0,401
74,38.23208882857581,599,0,401
74,38.564541774911255,599,0,401
74,38.8969947212467,599,0,401
74,39.22944766758214,599,0,401
74,39.56190061391758,599,0,401
74,39.89435356025302,599,0,401
74,40.22680650658847,599,0,401
74,40.55925945292391,599,0,401
74,40.89171239925935,599,0,401
74,41.22416534559479,599,0,401
74,41.556618291930235,599,0,401
74,41.88907123826568,599,0,401
74,42.221524184601115,599,0,401
74,42.55397713093656,599,0,401
74,42.886430077272,599,0,401
74,43.21888302360744,599,0,401
74,43.55133596994288,599,0,401
74,43.88378891627833,599,0,401
74,44.21624186261377,599,0,401
74,44.54869480894921,599,0,401
74,44.88114775528465,599,0,401
74,45.213600701620095,599,0,401
74,45.54605364795554,599,0,401
74,45.878506594290975,599,0,401
74,46.21095954062642,599,0,401
74,46.54341248696186,599,0,401
74,46.87586543329731,599,0,401
74,47.20831837963274,599,0,401
74,47.54077132596819,599,0,401
74,47.87322427230363,599,0,401
74,48.20567721863907,599,0,401
74,48.53813016497451,599,0,401
74,48.870583111309955,599,0,401
74,49.2030360576454,599,0,401
74,49.535489003980835,599,0,401
74,49.86794195031628,599,0,401
74,50.20039489665172,599,0,401
74,50.53284784298717,599,0,401
74,50.8653007893226,599,0,401
74,51.19775373565805,599,0,401
74,51.53020668199349,599,0,401
74,51.862659628328935,599,0,401
74,52.19511257466437,599,0,401
74,52.527565520999815,599,0,401
74,52.86001846733526,599,0,401
74,53.1924714136707,599,0,401
74,53.52492436000614,599,0,401
74,53.85737730634158,599,0,401
74,54.18983025267703,599,0,401
