rep,t,S,I,R
97,106.2,1014,0,8986
97,106.4,1014,0,8986
97,106.60000000000001,1014,0,8986
97,106.80000000000001,1014,0,8986
97,107.0,1014,0,8986
97,107.2,1014,0,8986
97,107.4,1014,0,8986
97,107.60000000000001,1014,0,8986
97,107.80000000000001,1014,0,8986
97,108.0,1014,0,8986
97,108.2,1014,0,8986
97,108.4,1014,0,8986
97,108.60000000000001,1014,0,8986
97,108.80000000000001,1014,0,8986
97,109.0,1014,0,8986
97,109.2,1014,0,8986
97,109.4,1014,0,8986
97,109.60000000000001,1014,0,8986
97,109.80000000000001,1014,0,8986
97,110.0,1014,0,8986
97,110.2,1014,0,8986
97,110.4,1014,0,8986
97,110.60000000000001,1014,0,8986
97,110.80000000000001,1014,0,8986
97,111.0,1014,0,8986
97,111.2,1014,0,8986
97,111.4,1014,0,8986
97,111.60000000000001,1014,0,8986
97,111.80000000000001,1014,0,8986
97,112.0,1014,0,8986
97,112.2,1014,0,8986
97,112.4,1014,0,8986
97,112.60000000000001,1014,0,8986
97,112.80000000000001,1014,0,8986
97,113.0,1014,0,8986
97,113.2,1014,0,8986
97,113.4,1014,0,8986
97,113.60000000000001,1014,0,8986
97,113.80000000000001,1014,0,8986
97,114.0,1014,0,8986
97,114.2,1014,0,8986
97,114.4,1014,0,8986
97,114.60000000000001,1014,0,8986
97,114.80000000000001,1014,0,8986
97,115.0,1014,0,8986
97,115.2,1014,0,8986
97,115.4,1014,0,8986
97,115.60000000000001,1014,0,8986
97,115.80000000000001,1014,0,8986
97,116.0,1014,0,8986
97,116.2,1014,0,8986
97,116.4,1014,0,8986
97,116.60000000000001,1014,0,8986
97,116.80000000000001,1014,0,8986
97,117.0,1014,0,8986
97,117.2,1014,0,8986
97,117.4,1014,0,8986
97,117.60000000000001,1014,0,8986
97,117.80000000000001,1014,0,8986
97,118.0,1014,0,8986
97,118.2,1014,0,8986
97,118.4,1014,0,8986
97,118.60000000000001,1014,0,8986
97,118.80000000000001,1014,0,8986
97,119.0,1014,0,8986
97,119.2,1014,0,8986
97,119.4,1014,0,8986
97,119.60000000000001,1014,0,8986
97,119.80000000000001,1014,0,8986
97,120.0,1014,0,8986
98,0.0,9990,10,0
98,0.2,9988,12,0
98,0.4,9988,11,1
98,0.6000000000000001,9988,9,3
98,0.8,9988,9,3
98,1.0,9987,10,3
98,1.2000000000000002,9987,9,4
98,1.4000000000000001,9985,11,4
98,1.6,9985,11,4
98,1.8,9984,11,5
98,2.0,9984,11,5
98,2.2,9982,13,5
98,2.4000000000000004,9981,12,7
98,2.6,9977,16,7
98,2.8000000000000003,9974,19,7
98,3.0,9970,22,8
98,3.2,9968,23,9
98,3.4000000000000004,9965,26,9
98,3.6,9963,25,12
98,3.8000000000000003,9959,27,14
98,4.0,9955,30,15
98,4.2,9950,34,16
98,4.4,9945,39,16
98,4.6000000000000005,9940,40,20
98,4.800000000000001,9933,44,23
98,5.0,9928,46,26
98,5.2,9921,52,27
98,5.4,9914,59,27
98,5.6000000000000005,9908,64,28
98,5.800000000000001,9900,68,32
98,6.0,9890,75,35
98,6.2,9881,83,36
98,6.4,9875,87,38
98,6.6000000000000005,9863,96,41
98,6.800000000000001,9854,100,46
98,7.0,9838,113,49
98,7.2,9824,125,51
98,7.4,9812,131,57
98,7.6000000000000005,9801,138,61
98,7.800000000000001,9787,149,64
98,8.0,9771,160,69
98,8.200000000000001,9753,168,79
98,8.4,9723,190,87
98,8.6,9695,209,96
98,8.8,9676,217,107
98,9.0,9656,228,116
98,9.200000000000001,9637,238,125
98,9.4,9600,268,132
98,9.600000000000001,9578,277,145
98,9.8,9559,286,155
98,10.0,9535,295,170
98,10.200000000000001,9499,323,178
98,10.4,9462,346,192
98,10.600000000000001,9432,362,206
98,10.8,9392,387,221
98,11.0,9355,410,235
98,11.200000000000001,9322,432,246
98,11.4,9276,466,258
98,11.600000000000001,9226,494,280
98,11.8,9181,516,303
98,12.0,9137,545,318
98,12.200000000000001,9087,572,341
98,12.4,9036,602,362
98,12.600000000000001,8984,633,383
98,12.8,8931,663,406
98,13.0,8876,700,424
98,13.200000000000001,8798,751,451
98,13.4,8725,799,476
98,13.600000000000001,8653,844,503
98,13.8,8581,890,529
98,14.0,8493,943,564
98,14.200000000000001,8427,970,603
98,14.4,8335,1021,644
98,14.600000000000001,8264,1049,687
98,14.8,8182,1088,730
98,15.0,8087,1137,776
98,15.200000000000001,7988,1185,827
98,15.4,7887,1237,876
98,15.600000000000001,7773,1300,927
98,15.8,7670,1343,987
98,16.0,7563,1397,1040
98,16.2,7454,1452,1094
98,16.400000000000002,7359,1478,1163
98,16.6,7227,1552,1221
98,16.8,7107,1629,1264
98,17.0,6980,1685,1335
98,17.2,6870,1740,1390
98,17.400000000000002,6742,1795,1463
98,17.6,6605,1851,1544
98,17.8,6473,1909,1618
98,18.0,6341,1969,1690
98,18.2,6199,2021,1780
98,18.400000000000002,6057,2082,1861
98,18.6,5919,2134,1947
98,18.8,5801,2168,2031
98,19.0,5679,2209,2112
98,19.200000000000003,5551,2246,2203
98,19.400000000000002,5456,2253,2291
98,19.6,5332,2299,2369
98,19.8,5190,2342,2468
98,20.0,5080,2343,2577
98,20.200000000000003,4961,2352,2687
98,20.400000000000002,4833,2386,2781
98,20.6,4720,2398,2882
98,20.8,4594,2427,2979
98,21.0,4474,2451,3075
98,21.200000000000003,4363,2465,3172
98,21.400000000000002,4254,2483,3263
98,21.6,4149,2484,3367
98,21.8,4050,2486,3464
98,22.0,3959,2478,3563
98,22.200000000000003,3859,2473,3668
98,22.400000000000002,3756,2481,3763
98,22.6,3674,2480,3846
98,22.8,3577,2490,3933
98,23.0,3484,2486,4030
98,23.200000000000003,3402,2464,4134
98,23.400000000000002,3310,2463,4227
98,23.6,3224,2465,4311
98,23.8,3126,2467,4407
98,24.0,3066,2431,4503
98,24.200000000000003,2999,2404,4597
98,24.400000000000002,2942,2390,4668
98,24.6,2871,2368,4761
98,24.8,2814,2326,4860
98,25.0,2761,2301,4938
98,25.200000000000003,2702,2278,5020
98,25.400000000000002,2650,2247,5103
98,25.6,2580,2230,5190
98,25.8,2525,2198,5277
98,26.0,2487,2149,5364
98,26.200000000000003,2426,2113,5461
